,Answer,End,Start,TextTitle,Titles,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
0,"I have not read another book by this author, but I hope I can do it soon.  I plan to read Diary of a Spider soon.",[],[],Diary of a Worm,[],0,0.0,0.0
1,"The main character is winn dixie the dog ran the store because
the winn dixie store.",[],[],Because of Winn-Dixie,[],1,1.0,1.0
2,I would rather be friends with the main character or person because the main character or person had a lot of adventures and I want to have adventures just like the main character or person in Willy Maykit in Space.,[214],[193],Willy Maykit in Space,['Willy Maykit in Space'],2,2.0,2.0
3,the pigeon and the bus driver one thing that is different is that the bus driver is a human  and the pigeon is a bird,[],[],Don't Let the Pigeon Drive the Bus!,[],3,3.0,3.0
4,I  think this book is historical. I hope other people read The Battle of Gettysburg because it is an outstanding book.,[83],[59],"The Battle of Gettysburg, 1863",['The Battle of Gettysburg'],4,4.0,4.0
5,"Book: The book I read was Cinder
Author: The author is Marissa Meyer
Hook: There a lot of things that cinder does not know about her past, but there is one thing that separates her from everyone else.
Introduction: This book was quite exciting. It is about a cyborg named Cinder who lives with her adopted family. Andre the mother does not like cinder at all. Peoni and Pearl are her two sisters. Cinder does not seem to get along with pearl, but she gets along with Peoni
Theme: It is mainly about why cyborgs don't fit in, and how it would feel to be different from everybody else
Qoutes: The Doctor: His eyebrows rose, his blue eyes sucking in all the light of the room. ""The cybernetic operation? "" Iko the android: We all have weaknesses mine is shoes.
My reclamation: This book was not good in my opinion. The main reason I did not like this book was that it was too confusing. First, it's telling you about Cinder then it jumps to a random flashback. I would recommend this book to the older kids who like long fiction.",[32],[26],Cinder,['Cinder'],5,5.0,5.0
6,"Well suds in fourth grade rats he is doing all these things for judy 
billings exaple he is putting a black widow on him",[30],[13],Fourth Grade Rats,['fourth grade rats'],6,6.0,6.0
7,"Greg, The main character of Diary of a wimpy kid, He has a very stressful life, Like my life. Greg has a younger annoying brother, same with me. Greg is a gamer, and So am I, but the ONE problem is our mom and dads. Both of our parents want us to ""play"" outside 1. it's boring 2. There's nothing fun to do outside. There I rest My case.",[48],[28],Diary of a Wimpy Kid: #1-4,['Diary of a wimpy kid'],7,7.0,7.0
8,"In the the story, Boxes for Katje, it would change because the biggest enemy or rival would be calling Rosie greedy and would probably call Katje needy.",[33],[18],Boxes for Katje,['Boxes for Katje'],8,8.0,8.0
9,There are no strength or weaknesses in The Principal from the Black Lagoon.It's a fantastic book. I enjoy the book I read it with my friends and often read by myself.,[74],[39],The Principal from the Black Lagoon,['The Principal from the Black Lagoon'],9,9.0,9.0
10,captain underpants,[18],[0],Captain Underpants and the Attack of the Talking Toilets,['captain underpants'],10,10.0,10.0
11,"Dork Diaries is a funny,dorky, and entertaining set of books. Most of the books are about a girl named Niki that faces many embarrassments and her best friends Zoey and Chloe help her out with that. The last thing that she must face is her crush,Brandon.",[12],[0],"The Dork Diaries Set: Dork Diaries Books 1, 2, 3, 3 1/2, 4, and 5",['Dork Diaries'],11,11.0,11.0
